"LGA","Year","Offence_Category_DMV","Subcategory","Total_DMV_Offences","Offence_Category_Drug","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed","new_Unemployment_Data"
"Hunters Hill",2017,"Assault","Domestic violence related assault",22,"Drug offences",11,5,17,5082,9667
"Hunters Hill",2018,"Assault","Domestic violence related assault",18,"Drug offences",18,9,9,5281,9527
"Hunters Hill",2019,"Assault","Domestic violence related assault",23,"Drug offences",33,8,15,5496,9377
"Hunters Hill",2020,"Assault","Domestic violence related assault",17,"Drug offences",29,0,19,5506,9360
"Inner West",2016,"Assault","Domestic violence related assault",427,"Drug offences",862,142,287,72253,118062
"Inner West",2017,"Assault","Domestic violence related assault",428,"Drug offences",828,169,258,72939,120833
"Inner West",2018,"Assault","Domestic violence related assault",377,"Drug offences",710,158,219,75317,121194
"Inner West",2019,"Assault","Domestic violence related assault",429,"Drug offences",879,131,298,77932,121059
"Inner West",2020,"Assault","Domestic violence related assault",305,"Drug offences",730,141,278,77417,122546
"Inverell",2016,"Assault","Domestic violence related assault",101,"Drug offences",67,42,65,7382,8691
"Inverell",2017,"Assault","Domestic violence related assault",87,"Drug offences",67,44,55,7321,8749
"Inverell",2018,"Assault","Domestic violence related assault",117,"Drug offences",70,44,82,7486,8570
"Inverell",2019,"Assault","Domestic violence related assault",165,"Drug offences",49,58,127,7680,8363
"Inverell",2020,"Assault","Domestic violence related assault",93,"Drug offences",71,43,111,7602,8391
"Junee",2016,"Assault","Domestic violence related assault",41,"Drug offences",44,7,34,2148,4214
"Junee",2017,"Assault","Domestic violence related assault",10,"Drug offences",21,3,7,2133,4306
"Junee",2018,"Assault","Domestic violence related assault",17,"Drug offences",20,1,16,2190,4352
"Junee",2019,"Assault","Domestic violence related assault",35,"Drug offences",33,9,27,2261,4335
"Junee",2020,"Assault","Domestic violence related assault",21,"Drug offences",30,6,22,2251,4342
"Kempsey",2016,"Assault","Domestic violence related assault",229,"Drug offences",137,78,151,10914,18549
"Kempsey",2017,"Assault","Domestic violence related assault",219,"Drug offences",162,69,150,10962,18694
"Kempsey",2018,"Assault","Domestic violence related assault",241,"Drug offences",181,70,171,11314,18380
"Kempsey",2019,"Assault","Domestic violence related assault",211,"Drug offences",170,72,139,11704,18112
"Kempsey",2020,"Assault","Domestic violence related assault",150,"Drug offences",155,75,170,11650,18341
"Kiama",2016,"Assault","Domestic violence related assault",24,"Drug offences",31,11,13,6284,15740
"Kiama",2017,"Assault","Domestic violence related assault",34,"Drug offences",20,16,18,6361,15986
"Kiama",2018,"Assault","Domestic violence related assault",36,"Drug offences",12,13,23,6599,16241
"Kiama",2019,"Assault","Domestic violence related assault",23,"Drug offences",17,12,11,6858,16386
"Kiama",2020,"Assault","Domestic violence related assault",31,"Drug offences",26,13,25,6789,16756
"Kyogle",2016,"Assault","Domestic violence related assault",45,"Drug offences",49,20,17,34902,87900
"Kyogle",2017,"Assault","Domestic violence related assault",46,"Drug offences",39,25,17,35414,89381
"Kyogle",2018,"Assault","Domestic violence related assault",52,"Drug offences",44,16,30,36762,89532
"Kyogle",2019,"Assault","Domestic violence related assault",39,"Drug offences",36,10,20,38219,89180
"Kyogle",2020,"Assault","Domestic violence related assault",30,"Drug offences",20,12,20,38272,89656
"Lachlan",2016,"Assault","Domestic violence related assault",55,"Drug offences",23,41,22,3148,5912
"Lachlan",2017,"Assault","Domestic violence related assault",58,"Drug offences",19,47,21,3143,5840
"Lachlan",2018,"Assault","Domestic violence related assault",59,"Drug offences",17,23,43,3221,5677
"Lachlan",2019,"Assault","Domestic violence related assault",59,"Drug offences",17,30,37,3315,5528
"Lachlan",2020,"Assault","Domestic violence related assault",38,"Drug offences",22,19,30,3296,5523
"Lake Macquarie",2016,"Assault","Domestic violence related assault",741,"Drug offences",542,199,542,2725,3701
"Lake Macquarie",2017,"Assault","Domestic violence related assault",808,"Drug offences",534,232,576,2719,3613
"Lake Macquarie",2018,"Assault","Domestic violence related assault",743,"Drug offences",592,225,518,2790,3454
"Lake Macquarie",2019,"Assault","Domestic violence related assault",811,"Drug offences",701,251,560,2879,3281
"Lake Macquarie",2020,"Assault","Domestic violence related assault",517,"Drug offences",582,232,515,2874,3217
"Lane Cove",2016,"Assault","Domestic violence related assault",45,"Drug offences",29,15,30,68729,132959
"Lane Cove",2017,"Assault","Domestic violence related assault",33,"Drug offences",24,12,21,69440,133363
"Lane Cove",2018,"Assault","Domestic violence related assault",41,"Drug offences",45,13,29,71793,132227
"Lane Cove",2019,"Assault","Domestic violence related assault",36,"Drug offences",37,9,27,74319,130835
"Lane Cove",2020,"Assault","Domestic violence related assault",51,"Drug offences",21,22,41,73971,133081
"Leeton",2016,"Assault","Domestic violence related assault",57,"Drug offences",50,17,40,20438,16692
"Leeton",2017,"Assault","Domestic violence related assault",63,"Drug offences",54,20,43,20720,18106
"Leeton",2018,"Assault","Domestic violence related assault",79,"Drug offences",78,30,49,21425,18142
"Leeton",2019,"Assault","Domestic violence related assault",103,"Drug offences",83,22,81,22181,18214
"Leeton",2020,"Assault","Domestic violence related assault",61,"Drug offences",72,17,66,22147,18818
"Lismore",2016,"Assault","Domestic violence related assault",175,"Drug offences",612,64,113,5487,5841
"Lismore",2017,"Assault","Domestic violence related assault",175,"Drug offences",504,47,128,5433,5909
"Lismore",2018,"Assault","Domestic violence related assault",218,"Drug offences",506,60,158,5568,5772
"Lismore",2019,"Assault","Domestic violence related assault",189,"Drug offences",552,65,124,5723,5614
"Lismore",2020,"Assault","Domestic violence related assault",147,"Drug offences",287,74,140,5686,5564
"Lithgow",2016,"Assault","Domestic violence related assault",85,"Drug offences",107,29,57,23618,20812
"Lithgow",2017,"Assault","Domestic violence related assault",102,"Drug offences",90,24,78,23725,20535
"Lithgow",2018,"Assault","Domestic violence related assault",89,"Drug offences",67,30,59,24443,19711
"Lithgow",2019,"Assault","Domestic violence related assault",114,"Drug offences",77,36,78,25260,18798
"Lithgow",2020,"Assault","Domestic violence related assault",100,"Drug offences",66,48,83,25160,18876
"Liverpool Plains",2016,"Assault","Domestic violence related assault",67,"Drug offences",30,27,40,8874,12600
"Liverpool Plains",2017,"Assault","Domestic violence related assault",35,"Drug offences",13,15,20,8882,12622
"Liverpool Plains",2018,"Assault","Domestic violence related assault",40,"Drug offences",20,17,23,9111,12412
"Liverpool Plains",2019,"Assault","Domestic violence related assault",45,"Drug offences",54,15,30,9376,12132
"Liverpool Plains",2020,"Assault","Domestic violence related assault",44,"Drug offences",34,18,35,9290,12129
"Liverpool",2016,"Assault","Domestic violence related assault",983,"Drug offences",958,177,808,79225,132285
"Liverpool",2017,"Assault","Domestic violence related assault",862,"Drug offences",880,156,706,80224,137060
"Liverpool",2018,"Assault","Domestic violence related assault",908,"Drug offences",855,169,741,82532,139923
"Liverpool",2019,"Assault","Domestic violence related assault",898,"Drug offences",1827,142,757,85283,141672
"Liverpool",2020,"Assault","Domestic violence related assault",748,"Drug offences",1534,184,850,84854,145765
"Lockhart",2016,"Assault","Domestic violence related assault",7,"Drug offences",5,2,5,3127,4718
"Lockhart",2017,"Assault","Domestic violence related assault",11,"Drug offences",7,5,6,3116,4748
"Lockhart",2018,"Assault","Domestic violence related assault",10,"Drug offences",4,3,7,3195,4684
"Lockhart",2019,"Assault","Domestic violence related assault",12,"Drug offences",2,10,2,3290,4606
"Lockhart",2020,"Assault","Domestic violence related assault",5,"Drug offences",2,3,4,3268,4578
"Lord Howe Island",2016,"Assault","Domestic violence related assault",2,"Drug offences",3,2,0,1004,2157
"Lord Howe Island",2017,"Assault","Domestic violence related assault",1,"Drug offences",0,1,0,999,2166
"Lord Howe Island",2018,"Assault","Domestic violence related assault",0,"Drug offences",0,0,0,1025,2151
"Lord Howe Island",2019,"Assault","Domestic violence related assault",1,"Drug offences",2,1,0,1060,2131
"Lord Howe Island",2020,"Assault","Domestic violence related assault",0,"Drug offences",1,0,0,1059,2145
"Maitland",2016,"Assault","Domestic violence related assault",496,"Drug offences",320,131,365,31778,47147
"Maitland",2017,"Assault","Domestic violence related assault",444,"Drug offences",313,105,339,32116,48740
"Maitland",2018,"Assault","Domestic violence related assault",486,"Drug offences",396,138,348,33146,49797
"Maitland",2019,"Assault","Domestic violence related assault",432,"Drug offences",497,120,312,34290,50705
"Maitland",2020,"Assault","Domestic violence related assault",329,"Drug offences",382,112,322,34163,53098
"Mid-Coast",2016,"Assault","Domestic violence related assault",458,"Drug offences",692,181,277,31742,59917
"Mid-Coast",2017,"Assault","Domestic violence related assault",405,"Drug offences",623,168,237,31868,60506
"Mid-Coast",2018,"Assault","Domestic violence related assault",428,"Drug offences",620,163,265,32823,60172
"Mid-Coast",2019,"Assault","Domestic violence related assault",471,"Drug offences",433,167,303,33874,59735
"Mid-Coast",2020,"Assault","Domestic violence related assault",337,"Drug offences",350,182,304,33567,60607
"Mid-Western Regional",2016,"Assault","Domestic violence related assault",124,"Drug offences",129,57,67,11690,13100
"Mid-Western Regional",2017,"Assault","Domestic violence related assault",107,"Drug offences",119,38,70,11636,13375
"Mid-Western Regional",2018,"Assault","Domestic violence related assault",129,"Drug offences",169,51,78,11899,13325
"Mid-Western Regional",2019,"Assault","Domestic violence related assault",165,"Drug offences",177,71,95,12185,13183
"Mid-Western Regional",2020,"Assault","Domestic violence related assault",124,"Drug offences",74,66,93,12013,13460
"Moree Plains",2016,"Assault","Domestic violence related assault",255,"Drug offences",179,114,141,6239,6438
"Moree Plains",2017,"Assault","Domestic violence related assault",219,"Drug offences",205,88,131,6231,6331
"Moree Plains",2018,"Assault","Domestic violence related assault",184,"Drug offences",176,57,127,6395,6044
"Moree Plains",2019,"Assault","Domestic violence related assault",183,"Drug offences",129,57,126,6600,5766
"Moree Plains",2020,"Assault","Domestic violence related assault",133,"Drug offences",110,60,156,6579,5616
"Mosman",2016,"Assault","Domestic violence related assault",33,"Drug offences",36,13,20,10169,20090
"Mosman",2017,"Assault","Domestic violence related assault",51,"Drug offences",55,19,32,10305,20282
"Mosman",2018,"Assault","Domestic violence related assault",45,"Drug offences",27,13,32,10683,20168
"Mosman",2019,"Assault","Domestic violence related assault",29,"Drug offences",37,12,17,11103,19856
"Mosman",2020,"Assault","Domestic violence related assault",16,"Drug offences",25,7,13,10997,19787
"Murray River",2016,"Assault","Domestic violence related assault",29,"Drug offences",60,13,16,4492,6053
"Murray River",2017,"Assault","Domestic violence related assault",14,"Drug offences",51,9,6,4490,6197
"Murray River",2018,"Assault","Domestic violence related assault",24,"Drug offences",53,13,11,4614,6229
"Murray River",2019,"Assault","Domestic violence related assault",34,"Drug offences",63,18,17,4756,6178
"Murray River",2020,"Assault","Domestic violence related assault",14,"Drug offences",41,12,7,4668,6501
"Murrumbidgee",2016,"Assault","Domestic violence related assault",17,"Drug offences",9,4,13,1868,2061
"Murrumbidgee",2017,"Assault","Domestic violence related assault",27,"Drug offences",11,10,17,1850,2081
"Murrumbidgee",2018,"Assault","Domestic violence related assault",24,"Drug offences",9,5,19,1899,2036
"Murrumbidgee",2019,"Assault","Domestic violence related assault",21,"Drug offences",13,9,12,1962,1974
"Murrumbidgee",2020,"Assault","Domestic violence related assault",19,"Drug offences",14,7,16,1965,1965
"Muswellbrook",2016,"Assault","Domestic violence related assault",93,"Drug offences",98,21,72,11631,4830
"Muswellbrook",2017,"Assault","Domestic violence related assault",93,"Drug offences",124,35,58,11550,4894
"Muswellbrook",2018,"Assault","Domestic violence related assault",109,"Drug offences",120,33,76,11757,4606
"Muswellbrook",2019,"Assault","Domestic violence related assault",119,"Drug offences",135,46,74,11993,4381
"Muswellbrook",2020,"Assault","Domestic violence related assault",95,"Drug offences",104,39,89,11823,4531
"Narrabri",2016,"Assault","Domestic violence related assault",98,"Drug offences",62,42,56,6595,12981
"Narrabri",2017,"Assault","Domestic violence related assault",76,"Drug offences",33,18,58,6649,13010
"Narrabri",2018,"Assault","Domestic violence related assault",83,"Drug offences",41,23,60,6869,12844
"Narrabri",2019,"Assault","Domestic violence related assault",87,"Drug offences",46,38,49,7103,12660
"Narrabri",2020,"Assault","Domestic violence related assault",65,"Drug offences",53,34,62,7040,12782
"Narrandera",2016,"Assault","Domestic violence related assault",27,"Drug offences",131,8,19,7461,5898
"Narrandera",2017,"Assault","Domestic violence related assault",37,"Drug offences",75,9,28,7407,5935
"Narrandera",2018,"Assault","Domestic violence related assault",31,"Drug offences",58,8,23,7553,5756
"Narrandera",2019,"Assault","Domestic violence related assault",32,"Drug offences",103,12,20,7725,5528
"Narrandera",2020,"Assault","Domestic violence related assault",42,"Drug offences",69,14,41,7629,5557
"Narromine",2016,"Assault","Domestic violence related assault",46,"Drug offences",12,15,31,2476,3661
"Narromine",2017,"Assault","Domestic violence related assault",56,"Drug offences",11,14,42,2479,3638
"Narromine",2018,"Assault","Domestic violence related assault",83,"Drug offences",20,22,61,2555,3543
"Narromine",2019,"Assault","Domestic violence related assault",57,"Drug offences",20,8,50,2645,3436
"Narromine",2020,"Assault","Domestic violence related assault",44,"Drug offences",19,16,44,2644,3403
"Newcastle",2016,"Assault","Domestic violence related assault",721,"Drug offences",728,226,495,2703,4008
"Newcastle",2017,"Assault","Domestic violence related assault",669,"Drug offences",582,211,458,2687,3980
"Newcastle",2018,"Assault","Domestic violence related assault",618,"Drug offences",532,206,412,2750,3881
"Newcastle",2019,"Assault","Domestic violence related assault",710,"Drug offences",581,206,504,2828,3763
"Newcastle",2020,"Assault","Domestic violence related assault",458,"Drug offences",639,187,478,2816,3716
"North Sydney",2016,"Assault","Domestic violence related assault",132,"Drug offences",369,65,67,115220,46136
"North Sydney",2017,"Assault","Domestic violence related assault",134,"Drug offences",405,70,64,116572,46421
"North Sydney",2018,"Assault","Domestic violence related assault",121,"Drug offences",343,55,66,120479,44044
"North Sydney",2019,"Assault","Domestic violence related assault",97,"Drug offences",341,37,59,124770,41436
"North Sydney",2020,"Assault","Domestic violence related assault",67,"Drug offences",145,33,60,124323,43708
"Northern Beaches",2016,"Assault","Domestic violence related assault",305,"Drug offences",395,118,187,81937,-10575
"Northern Beaches",2017,"Assault","Domestic violence related assault",358,"Drug offences",475,160,198,83148,-10601
"Northern Beaches",2018,"Assault","Domestic violence related assault",448,"Drug offences",434,194,254,86102,-12617
"Northern Beaches",2019,"Assault","Domestic violence related assault",487,"Drug offences",476,202,285,89367,-15090
"Northern Beaches",2020,"Assault","Domestic violence related assault",265,"Drug offences",383,136,215,89619,-15252
"Oberon",2016,"Assault","Domestic violence related assault",15,"Drug offences",5,5,10,103858,161609
"Oberon",2017,"Assault","Domestic violence related assault",20,"Drug offences",4,4,16,104896,163973
"Oberon",2018,"Assault","Domestic violence related assault",35,"Drug offences",3,7,26,108310,162716
"Oberon",2019,"Assault","Domestic violence related assault",18,"Drug offences",9,10,7,111979,161429
"Oberon",2020,"Assault","Domestic violence related assault",11,"Drug offences",20,7,16,111201,162839
"Orange",2016,"Assault","Domestic violence related assault",254,"Drug offences",228,69,185,2476,2227
"Orange",2017,"Assault","Domestic violence related assault",269,"Drug offences",170,82,187,2473,2258
"Orange",2018,"Assault","Domestic violence related assault",243,"Drug offences",175,59,184,2531,2183
"Orange",2019,"Assault","Domestic violence related assault",315,"Drug offences",213,93,222,2600,2116
"Orange",2020,"Assault","Domestic violence related assault",202,"Drug offences",169,69,194,2571,2151
"Parkes",2016,"Assault","Domestic violence related assault",118,"Drug offences",80,31,87,21972,18537
"Parkes",2017,"Assault","Domestic violence related assault",84,"Drug offences",55,24,60,22183,18709
"Parkes",2018,"Assault","Domestic violence related assault",89,"Drug offences",52,26,64,22926,18447
"Parkes",2019,"Assault","Domestic violence related assault",88,"Drug offences",52,32,56,23748,17994
"Parkes",2020,"Assault","Domestic violence related assault",65,"Drug offences",40,26,72,23679,18159
"Parramatta",2016,"Assault","Domestic violence related assault",633,"Drug offences",916,147,486,6675,8376
"Parramatta",2017,"Assault","Domestic violence related assault",730,"Drug offences",1066,158,570,6691,8339
"Parramatta",2018,"Assault","Domestic violence related assault",755,"Drug offences",1128,176,578,6875,8113
"Parramatta",2019,"Assault","Domestic violence related assault",742,"Drug offences",1257,162,580,7092,7870
"Parramatta",2020,"Assault","Domestic violence related assault",634,"Drug offences",817,186,703,7044,7828
"Penrith",2016,"Assault","Domestic violence related assault",1054,"Drug offences",902,287,767,161821,71986
"Penrith",2017,"Assault","Domestic violence related assault",1122,"Drug offences",922,288,833,163324,80028
"Penrith",2018,"Assault","Domestic violence related assault",1244,"Drug offences",821,278,964,168418,82626
"Penrith",2019,"Assault","Domestic violence related assault",1330,"Drug offences",760,300,1031,174444,83011
"Penrith",2020,"Assault","Domestic violence related assault",1001,"Drug offences",720,324,1060,174374,86336
"Port Macquarie-Hastings",2016,"Assault","Domestic violence related assault",254,"Drug offences",380,111,142,80616,120477
"Port Macquarie-Hastings",2017,"Assault","Domestic violence related assault",246,"Drug offences",350,95,151,81424,123295
"Port Macquarie-Hastings",2018,"Assault","Domestic violence related assault",272,"Drug offences",356,106,165,84013,124502
"Port Macquarie-Hastings",2019,"Assault","Domestic violence related assault",314,"Drug offences",378,109,206,86859,125583
"Port Macquarie-Hastings",2020,"Assault","Domestic violence related assault",214,"Drug offences",352,118,199,86335,129404
"Port Stephens",2016,"Assault","Domestic violence related assault",354,"Drug offences",320,109,245,32646,47450
"Port Stephens",2017,"Assault","Domestic violence related assault",314,"Drug offences",288,111,203,32884,48562
"Port Stephens",2018,"Assault","Domestic violence related assault",350,"Drug offences",274,122,228,33909,49066
"Port Stephens",2019,"Assault","Domestic violence related assault",379,"Drug offences",309,157,222,35047,49381
"Port Stephens",2020,"Assault","Domestic violence related assault",247,"Drug offences",355,127,230,34813,51055
"Queanbeyan-Palerang Regional",2016,"Assault","Domestic violence related assault",161,"Drug offences",204,58,105,31052,40160
"Queanbeyan-Palerang Regional",2017,"Assault","Domestic violence related assault",132,"Drug offences",131,27,106,31606,40412
"Queanbeyan-Palerang Regional",2018,"Assault","Domestic violence related assault",135,"Drug offences",147,37,98,32689,40121
"Queanbeyan-Palerang Regional",2019,"Assault","Domestic violence related assault",146,"Drug offences",145,40,106,33902,39708
"Queanbeyan-Palerang Regional",2020,"Assault","Domestic violence related assault",137,"Drug offences",195,52,139,33794,40812
"Randwick",2016,"Assault","Domestic violence related assault",371,"Drug offences",573,148,223,17562,39648
"Randwick",2017,"Assault","Domestic violence related assault",354,"Drug offences",949,125,229,17776,40497
"Randwick",2018,"Assault","Domestic violence related assault",363,"Drug offences",899,119,244,18359,41034
"Randwick",2019,"Assault","Domestic violence related assault",420,"Drug offences",904,135,286,19021,41543
"Randwick",2020,"Assault","Domestic violence related assault",276,"Drug offences",511,127,265,18990,42760
"Richmond Valley",2016,"Assault","Domestic violence related assault",131,"Drug offences",144,46,83,52741,96178
"Richmond Valley",2017,"Assault","Domestic violence related assault",149,"Drug offences",187,64,85,53462,98685
"Richmond Valley",2018,"Assault","Domestic violence related assault",124,"Drug offences",218,58,66,55491,98653
"Richmond Valley",2019,"Assault","Domestic violence related assault",145,"Drug offences",163,60,85,57723,97797
"Richmond Valley",2020,"Assault","Domestic violence related assault",96,"Drug offences",147,48,104,57588,99030
"Ryde",2016,"Assault","Domestic violence related assault",207,"Drug offences",151,41,166,8281,15010
"Ryde",2017,"Assault","Domestic violence related assault",206,"Drug offences",142,54,152,8198,15159
"Ryde",2018,"Assault","Domestic violence related assault",258,"Drug offences",178,34,224,8386,15018
"Ryde",2019,"Assault","Domestic violence related assault",296,"Drug offences",200,63,233,8603,14866
"Ryde",2020,"Assault","Domestic violence related assault",247,"Drug offences",184,80,239,8498,15000
"Shellharbour",2016,"Assault","Domestic violence related assault",234,"Drug offences",349,68,166,101401,20429
"Shellharbour",2017,"Assault","Domestic violence related assault",238,"Drug offences",218,69,169,102010,23272
"Shellharbour",2018,"Assault","Domestic violence related assault",200,"Drug offences",245,57,143,104752,23423
"Shellharbour",2019,"Assault","Domestic violence related assault",238,"Drug offences",214,59,179,107578,24502
"Shellharbour",2020,"Assault","Domestic violence related assault",197,"Drug offences",213,85,178,106664,27483
"Shoalhaven",2016,"Assault","Domestic violence related assault",393,"Drug offences",398,145,248,20519,49871
"Shoalhaven",2017,"Assault","Domestic violence related assault",338,"Drug offences",517,137,201,20759,50276
"Shoalhaven",2018,"Assault","Domestic violence related assault",430,"Drug offences",506,152,278,21507,50652
"Shoalhaven",2019,"Assault","Domestic violence related assault",390,"Drug offences",509,131,259,22317,50907
"Shoalhaven",2020,"Assault","Domestic violence related assault",344,"Drug offences",343,161,303,22251,52370
"Singleton",2016,"Assault","Domestic violence related assault",84,"Drug offences",74,20,64,39492,62289
"Singleton",2017,"Assault","Domestic violence related assault",110,"Drug offences",94,23,87,39960,62957
"Singleton",2018,"Assault","Domestic violence related assault",96,"Drug offences",136,39,57,41415,62718
"Singleton",2019,"Assault","Domestic violence related assault",89,"Drug offences",137,30,59,43025,62485
"Singleton",2020,"Assault","Domestic violence related assault",59,"Drug offences",108,33,63,42923,64107
"Snowy Monaro Regional",2016,"Assault","Domestic violence related assault",54,"Drug offences",110,29,26,19734,3819
"Snowy Monaro Regional",2017,"Assault","Domestic violence related assault",59,"Drug offences",117,27,32,19493,4061
"Snowy Monaro Regional",2018,"Assault","Domestic violence related assault",48,"Drug offences",82,24,24,19749,3794
"Snowy Monaro Regional",2019,"Assault","Domestic violence related assault",86,"Drug offences",104,31,55,20006,3589
"Snowy Monaro Regional",2020,"Assault","Domestic violence related assault",48,"Drug offences",73,27,36,19574,3938
"Snowy Valleys",2016,"Assault","Domestic violence related assault",87,"Drug offences",66,29,58,11650,9948
"Snowy Valleys",2017,"Assault","Domestic violence related assault",66,"Drug offences",42,21,42,11662,10031
"Snowy Valleys",2018,"Assault","Domestic violence related assault",66,"Drug offences",45,20,46,11991,9802
"Snowy Valleys",2019,"Assault","Domestic violence related assault",74,"Drug offences",97,21,53,12370,9498
"Snowy Valleys",2020,"Assault","Domestic violence related assault",58,"Drug offences",81,28,51,12078,9971
"Strathfield",2016,"Assault","Domestic violence related assault",108,"Drug offences",79,22,86,7165,7487
"Strathfield",2017,"Assault","Domestic violence related assault",131,"Drug offences",63,34,97,7109,7515
"Strathfield",2018,"Assault","Domestic violence related assault",140,"Drug offences",81,30,111,7262,7286
"Strathfield",2019,"Assault","Domestic violence related assault",141,"Drug offences",90,41,100,7449,7060
"Strathfield",2020,"Assault","Domestic violence related assault",107,"Drug offences",76,21,114,7372,7069
"Sutherland Shire",2016,"Assault","Domestic violence related assault",486,"Drug offences",717,186,299,25852,16240
"Sutherland Shire",2017,"Assault","Domestic violence related assault",482,"Drug offences",778,181,301,25922,17445
"Sutherland Shire",2018,"Assault","Domestic violence related assault",458,"Drug offences",759,171,287,26598,17877
"Sutherland Shire",2019,"Assault","Domestic violence related assault",689,"Drug offences",906,205,483,27355,18553
"Sutherland Shire",2020,"Assault","Domestic violence related assault",466,"Drug offences",747,233,420,27079,19524
"Sydney",2016,"Assault","Domestic violence related assault",964,"Drug offences",4969,400,562,78560,147290
"Sydney",2017,"Assault","Domestic violence related assault",1014,"Drug offences",4780,442,573,79465,147680
"Sydney",2018,"Assault","Domestic violence related assault",1010,"Drug offences",5215,416,592,82179,146339
"Sydney",2019,"Assault","Domestic violence related assault",1112,"Drug offences",5150,462,651,85098,145052
"Sydney",2020,"Assault","Domestic violence related assault",797,"Drug offences",3689,431,681,84641,147299
"Tamworth Regional",2016,"Assault","Domestic violence related assault",336,"Drug offences",197,118,218,578446,-355611
"Tamworth Regional",2017,"Assault","Domestic violence related assault",345,"Drug offences",188,136,209,586663,-353382
"Tamworth Regional",2018,"Assault","Domestic violence related assault",377,"Drug offences",209,136,240,607196,-366713
"Tamworth Regional",2019,"Assault","Domestic violence related assault",411,"Drug offences",189,149,262,630904,-384230
"Tamworth Regional",2020,"Assault","Domestic violence related assault",296,"Drug offences",170,94,321,632127,-382709
"Temora",2016,"Assault","Domestic violence related assault",14,"Drug offences",17,9,5,29541,31267
"Temora",2017,"Assault","Domestic violence related assault",27,"Drug offences",12,13,14,29640,31684
"Temora",2018,"Assault","Domestic violence related assault",13,"Drug offences",20,5,8,30551,31270
"Temora",2019,"Assault","Domestic violence related assault",29,"Drug offences",27,5,23,31570,30696
"Temora",2020,"Assault","Domestic violence related assault",18,"Drug offences",11,13,12,31444,30839
"Tenterfield",2016,"Assault","Domestic violence related assault",46,"Drug offences",22,18,36,2717,3468
"Tenterfield",2017,"Assault","Domestic violence related assault",39,"Drug offences",27,14,27,2712,3520
"Tenterfield",2018,"Assault","Domestic violence related assault",40,"Drug offences",37,15,31,2786,3481
"Tenterfield",2019,"Assault","Domestic violence related assault",46,"Drug offences",33,21,34,2876,3437
"Tenterfield",2020,"Assault","Domestic violence related assault",45,"Drug offences",42,27,38,2860,3428
"The Hills Shire",2016,"Assault","Domestic violence related assault",207,"Drug offences",252,39,168,2461,4235
"The Hills Shire",2017,"Assault","Domestic violence related assault",216,"Drug offences",249,51,165,2449,4210
"The Hills Shire",2018,"Assault","Domestic violence related assault",217,"Drug offences",302,48,169,2509,4121
"The Hills Shire",2019,"Assault","Domestic violence related assault",302,"Drug offences",210,68,233,2583,4010
"The Hills Shire",2020,"Assault","Domestic violence related assault",258,"Drug offences",160,66,265,2564,3905
"Tweed",2016,"Assault","Domestic violence related assault",289,"Drug offences",860,126,163,74662,89647
"Tweed",2017,"Assault","Domestic violence related assault",291,"Drug offences",777,118,173,75680,93746
"Tweed",2018,"Assault","Domestic violence related assault",324,"Drug offences",695,134,192,78215,95543
"Tweed",2019,"Assault","Domestic violence related assault",335,"Drug offences",527,144,194,81011,98358
"Tweed",2020,"Assault","Domestic violence related assault",232,"Drug offences",487,117,222,80764,104481
"Unincorporated Far West",2016,"Assault","Domestic violence related assault",2,"Drug offences",1,2,4,32883,60858
"Unincorporated Far West",2017,"Assault","Domestic violence related assault",0,"Drug offences",2,0,0,33238,61670
"Unincorporated Far West",2018,"Assault","Domestic violence related assault",1,"Drug offences",1,0,1,34417,61600
"Unincorporated Far West",2019,"Assault","Domestic violence related assault",0,"Drug offences",3,0,3,35710,61274
"Unincorporated Far West",2020,"Assault","Domestic violence related assault",2,"Drug offences",0,2,2,35557,62824
"Upper Hunter Shire",2016,"Assault","Domestic violence related assault",37,"Drug offences",51,17,20,224,189
"Upper Hunter Shire",2017,"Assault","Domestic violence related assault",27,"Drug offences",24,13,14,225,190
"Upper Hunter Shire",2018,"Assault","Domestic violence related assault",54,"Drug offences",44,18,36,232,188
"Upper Hunter Shire",2019,"Assault","Domestic violence related assault",43,"Drug offences",57,16,27,241,174
"Upper Hunter Shire",2020,"Assault","Domestic violence related assault",58,"Drug offences",32,32,45,235,167
"Upper Lachlan Shire",2016,"Assault","Domestic violence related assault",19,"Drug offences",7,7,13,5916,8427
"Upper Lachlan Shire",2017,"Assault","Domestic violence related assault",8,"Drug offences",7,3,5,5907,8381
"Upper Lachlan Shire",2018,"Assault","Domestic violence related assault",8,"Drug offences",11,4,4,6078,8144
"Upper Lachlan Shire",2019,"Assault","Domestic violence related assault",8,"Drug offences",9,3,5,6284,7908
"Upper Lachlan Shire",2020,"Assault","Domestic violence related assault",3,"Drug offences",7,4,5,6256,7925
"Uralla",2016,"Assault","Domestic violence related assault",22,"Drug offences",6,8,14,3301,6539
"Uralla",2017,"Assault","Domestic violence related assault",21,"Drug offences",9,7,14,3309,6595
"Uralla",2018,"Assault","Domestic violence related assault",19,"Drug offences",7,4,15,3420,6535
"Uralla",2019,"Assault","Domestic violence related assault",16,"Drug offences",9,6,10,3556,6466
"Uralla",2020,"Assault","Domestic violence related assault",11,"Drug offences",5,11,8,3571,6574
"Wagga Wagga",2016,"Assault","Domestic violence related assault",399,"Drug offences",391,110,289,1722,4995
