"LGA","Year","Offence_Category_DMV","Subcategory","Total_DMV_Offences","Offence_Category_Drug","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed","new_Unemployment_Data"
"Bogan",2017,"Assault","Domestic violence related assault",20,"Drug offences",17,5,15,1510,1205
"Bogan",2018,"Assault","Domestic violence related assault",22,"Drug offences",11,4,18,1519,1156
"Bogan",2019,"Assault","Domestic violence related assault",23,"Drug offences",22,11,12,1533,1099
"Bogan",2020,"Assault","Domestic violence related assault",16,"Drug offences",21,4,17,1495,1084
"Bourke",2016,"Assault","Domestic violence related assault",92,"Drug offences",44,32,60,1165,1607
"Bourke",2017,"Assault","Domestic violence related assault",89,"Drug offences",19,44,45,1156,1582
"Bourke",2018,"Assault","Domestic violence related assault",103,"Drug offences",42,51,52,1178,1511
"Bourke",2019,"Assault","Domestic violence related assault",101,"Drug offences",34,38,63,1206,1440
"Bourke",2020,"Assault","Domestic violence related assault",84,"Drug offences",41,45,75,1190,1441
"Brewarrina",2016,"Assault","Domestic violence related assault",48,"Drug offences",13,31,17,490,921
"Brewarrina",2017,"Assault","Domestic violence related assault",43,"Drug offences",6,32,11,483,908
"Brewarrina",2018,"Assault","Domestic violence related assault",44,"Drug offences",9,26,18,491,874
"Brewarrina",2019,"Assault","Domestic violence related assault",61,"Drug offences",29,39,22,503,840
"Brewarrina",2020,"Assault","Domestic violence related assault",46,"Drug offences",30,39,28,500,835
"Broken Hill",2016,"Assault","Domestic violence related assault",160,"Drug offences",126,62,94,8098,10015
"Broken Hill",2017,"Assault","Domestic violence related assault",184,"Drug offences",109,70,114,8036,9846
"Broken Hill",2018,"Assault","Domestic violence related assault",207,"Drug offences",174,69,138,8162,9552
"Broken Hill",2019,"Assault","Domestic violence related assault",206,"Drug offences",138,69,134,8306,9170
"Broken Hill",2020,"Assault","Domestic violence related assault",177,"Drug offences",128,83,163,8124,9144
"Burwood",2016,"Assault","Domestic violence related assault",72,"Drug offences",88,20,52,18938,20367
"Burwood",2017,"Assault","Domestic violence related assault",84,"Drug offences",59,20,66,19185,21298
