"Total_DMV_Offences","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed"
245,214,70,175,29825
236,183,83,153,30916
204,158,70,211,30777
24,213,7,17,1525
17,109,5,12,1526
19,74,8,11,1570
21,36,7,14,1624
24,15,10,18,1621
72,47,30,42,8130
99,48,38,62,8111
109,70,43,66,8330
89,64,27,64,8589
60,103,37,63,8548
152,190,44,108,48444
159,176,45,114,48963
159,214,48,111,50646
218,248,51,166,52450
225,139,65,207,52250
15,25,4,11,5005
22,11,5,17,5082
18,18,9,9,5281
23,33,8,15,5496
17,29,4,19,5506
427,862,142,287,72253
428,828,169,258,72939
377,710,158,219,75317
429,879,131,298,77932
305,730,141,278,77417
101,67,42,65,7382
87,67,44,55,7321
117,70,44,82,7486
165,49,58,127,7680
93,71,43,111,7602
41,44,7,34,2148
10,21,4,7,2133
17,20,4,16,2190
35,33,9,27,2261
21,30,6,22,2251
229,137,78,151,10914
219,162,69,150,10962
241,181,70,171,11314
211,170,72,139,11704
150,155,75,170,11650
24,31,11,13,6284
34,20,16,18,6361
36,12,13,23,6599
23,17,12,11,6858
31,26,13,25,6789
45,49,20,17,34902
46,39,25,17,35414
52,44,16,30,36762
39,36,10,20,38219
30,20,12,20,38272
55,23,41,22,3148
58,19,47,21,3143
59,17,23,43,3221
59,17,30,37,3315
38,22,19,30,3296
741,542,199,542,2725
808,534,213.05,576,2719
743,592,213.05,518,2790
811,701,213.05,560,2879
517,582,213.05,515,2874
45,29,15,30,68729
33,24,12,21,69440
41,45,13,29,71793
36,37,9,27,74319
51,21,22,41,73971
57,50,17,40,20438
63,54,20,43,20720
79,78,30,49,21425
103,83,22,81,22181
61,72,17,66,22147
175,612,64,113,5487
175,504,47,128,5433
218,506,60,158,5568
189,552,65,124,5723
147,287,74,140,5686
85,107,29,57,23618
102,90,24,78,23725
89,67,30,59,24443
114,77,36,78,25260
100,66,48,83,25160
67,30,27,40,8874
35,13,15,20,8882
40,20,17,23,9111
45,54,15,30,9376
44,34,18,35,9290
865.499999999999,958,177,703.15,79225
862,880,156,703.15,80224
865.499999999999,855,169,703.15,82532
865.499999999999,989.05,142,703.15,85283
748,989.05,184,703.15,84854
10,7,4,5.95,3127
11,7,5,6,3116
10,7,4,7,3195
12,7,10,5.95,3290
10,7,4,5.95,3268
10,7,4,5.95,1177.35
10,7,4,5.95,1177.35
10,7,4,5.95,1177.35
10,7,4,5.95,1177.35
10,7,4,5.95,1177.35
496,320,131,365,31778
444,313,105,339,32116
486,396,138,348,33146
432,497,120,312,34290
329,382,112,322,34163
458,692,181,277,31742
405,623,168,237,31868
428,620,163,265,32823
471,433,167,303,33874
337,350,182,304,33567
124,129,57,67,11690
107,119,38,70,11636
129,169,51,78,11899
165,177,71,95,12185
124,74,66,93,12013
255,179,114,141,6239
219,205,88,131,6231
184,176,57,127,6395
183,129,57,126,6600
133,110,60,156,6579
33,36,13,20,10169
51,55,19,32,10305
45,27,13,32,10683
29,37,12,17,11103
16,25,7,13,10997
29,60,13,16,4492
14,51,9,6,4490
24,53,13,11,4614
34,63,18,17,4756
14,41,12,7,4668
17,9,4,13,1868
27,11,10,17,1850
24,9,5,19,1899
21,13,9,12,1962
19,14,7,16,1965
93,98,21,72,11631
93,124,35,58,11550
109,120,33,76,11757
119,135,46,74,11993
95,104,39,89,11823
98,62,42,56,6595
76,33,18,58,6649
83,41,23,60,6869
87,46,38,49,7103
65,53,34,62,7040
27,131,8,19,7461
37,75,9,28,7407
31,58,8,23,7553
32,103,12,20,7725
42,69,14,41,7629
46,12,15,31,2476
56,11,14,42,2479
83,20,22,61,2555
57,20,8,50,2645
44,19,16,44,2644
721,728,213.05,495,2703
669,582,211,458,2687
618,532,206,412,2750
710,581,206,504,2828
458,639,187,478,2816
132,369,65,67,108454.55
134,405,70,64,108454.55
121,343,55,66,108454.55
97,341,37,59,108454.55
67,145,33,60,108454.55
305,395,118,187,81937
358,475,160,198,83148
448,434,194,254,86102
487,476,202,285,89367
265,383,136,215,89619
15,7,5,10,103858
20,7,4,16,104896
35,7,7,26,108310
18,9,10,7,108454.55
11,20,7,16,108454.55
254,228,69,185,2476
269,170,82,187,2473
243,175,59,184,2531
315,213,93,222,2600
202,169,69,194,2571
118,80,31,87,21972
84,55,24,60,22183
89,52,26,64,22926
88,52,32,56,23748
65,40,26,72,23679
633,916,147,486,6675
730,989.05,158,570,6691
755,989.05,176,578,6875
742,989.05,162,580,7092
634,817,186,703,7044
865.499999999999,902,213.05,703.15,108454.55
865.499999999999,922,213.05,703.15,108454.55
865.499999999999,821,213.05,703.15,108454.55
865.499999999999,760,213.05,703.15,108454.55
865.499999999999,720,213.05,703.15,108454.55
